epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3045,0.75405,5.14532,0.01012,0.0033,1,0.14372,0.09761,0.41241,5.66248,0.00658,0.00192,0.00192,0.08272
2,39.9882,0.73339,4.51586,0.00897,0.0033,1,0.3055,0.23741,0.32481,4.98912,0.00542,0.00391957,0.00391957,0.0647196
3,59.0744,0.72284,4.13492,0.00898,0.0033,1,0.4498,0.30965,0.46638,4.85661,0.00773,0.00591743,0.00591743,0.0467174
4,78.4922,0.73347,3.66695,0.00877,0.0033,1,0.49333,0.33439,0.40629,4.58791,0.00701,0.00791226,0.00791226,0.0287123
5,97.5105,0.80452,3.47845,0.01047,0.45365,0.53535,0.49779,0.34547,0.92962,3.99874,0.01686,0.00990278,0.00990278,0.0107028
6,116.228,0.8132,3.28395,0.01072,0.52223,0.78788,0.66424,0.54323,0.71703,3.80559,0.01488,0.00997288,0.00997288,0.00997288
7,135.167,0.8486,3.13299,0.01092,0.52902,0.72615,0.65127,0.57923,0.56679,3.24913,0.01267,0.00996097,0.00996097,0.00996097
8,154.405,0.90216,2.66887,0.01087,0.58319,0.69254,0.71895,0.61719,0.60518,3.02507,0.01192,0.0099469,0.0099469,0.0099469
9,173.417,0.9132,2.55093,0.01163,0.63798,0.87879,0.7673,0.66124,0.54474,2.80858,0.01009,0.00993068,0.00993068,0.00993068
10,192.421,0.85143,2.3964,0.01132,0.80958,0.8589,0.88254,0.75438,0.64224,2.38446,0.01216,0.00991232,0.00991232,0.00991232
11,211.671,0.91684,2.22553,0.01125,0.78379,0.81818,0.89179,0.61497,1.02897,2.53017,0.02242,0.00989183,0.00989183,0.00989183
12,230.661,0.95531,2.09067,0.01247,0.81329,0.77778,0.89664,0.63235,1.09226,2.20213,0.02417,0.00986922,0.00986922,0.00986922
13,249.796,0.89352,2.06005,0.01164,0.79129,0.84252,0.90877,0.71362,0.88518,2.03288,0.01892,0.00984449,0.00984449,0.00984449
14,268.289,0.98629,1.77947,0.0122,0.75278,0.86123,0.89661,0.67063,1.06088,2.0192,0.02002,0.00981765,0.00981765,0.00981765
15,286.794,0.90852,1.73915,0.01169,0.81621,0.73737,0.88204,0.72621,0.71418,1.88305,0.0144,0.00978873,0.00978873,0.00978873
16,305.188,0.85991,1.76707,0.01056,0.84168,0.87879,0.92972,0.62612,1.26889,1.78178,0.02831,0.00975773,0.00975773,0.00975773
17,323.616,0.98257,1.58886,0.01247,0.85507,0.83435,0.91534,0.61137,1.34646,1.73076,0.03217,0.00972466,0.00972466,0.00972466
18,341.801,0.99432,1.57235,0.01258,0.8903,0.81981,0.93402,0.77074,0.73888,1.43563,0.01375,0.00968955,0.00968955,0.00968955
19,360.077,0.94707,1.4418,0.01135,0.87952,0.88489,0.95257,0.78003,0.74982,1.28548,0.01443,0.00965239,0.00965239,0.00965239
20,378.524,1.01384,1.45739,0.01261,0.8913,0.94949,0.97155,0.83284,0.61977,1.10626,0.01164,0.00961322,0.00961322,0.00961322
21,397.169,1.02917,1.43073,0.01279,0.87307,0.90328,0.95896,0.77387,0.77975,1.15524,0.01542,0.00957205,0.00957205,0.00957205
